	Freq	Rel.Freq
got	10	0.00102827763496144
For	10	0.00102827763496144
company.	10	0.00102827763496144
very	9	0.000925449871465296
three	9	0.000925449871465296
They	9	0.000925449871465296
spend	9	0.000925449871465296
sort	9	0.000925449871465296
rich	9	0.000925449871465296
product	9	0.000925449871465296
plan	9	0.000925449871465296
going	9	0.000925449871465296
first	9	0.000925449871465296
been	9	0.000925449871465296
any	9	0.000925449871465296
also	9	0.000925449871465296
year	8	0.000822622107969152
valuable	8	0.000822622107969152
trying	8	0.000822622107969152
That	8	0.000822622107969152
stock	8	0.000822622107969152
startups,	8	0.000822622107969152
startup.	8	0.000822622107969152
starting	8	0.000822622107969152
sell	8	0.000822622107969152
seem	8	0.000822622107969152
search	8	0.000822622107969152
say	8	0.000822622107969152
running	8	0.000822622107969152
over	8	0.000822622107969152
office	8	0.000822622107969152
number	8	0.000822622107969152
investors	8	0.000822622107969152
important	8	0.000822622107969152
hackers	8	0.000822622107969152
every	8	0.000822622107969152
doesn't	8	0.000822622107969152
At	8	0.000822622107969152
are,	8	0.000822622107969152
A	8	0.000822622107969152
while	7	0.000719794344473008
where	7	0.000719794344473008
Web	7	0.000719794344473008
understand	7	0.000719794344473008
time	7	0.000719794344473008
through	7	0.000719794344473008
talk	7	0.000719794344473008
smart	7	0.000719794344473008
seems	7	0.000719794344473008
real	7	0.000719794344473008
One	7	0.000719794344473008
now	7	0.000719794344473008
new	7	0.000719794344473008
never	7	0.000719794344473008
my	7	0.000719794344473008
me	7	0.000719794344473008
learn	7	0.000719794344473008
ideas	7	0.000719794344473008
I'd	7	0.000719794344473008
great	7	0.000719794344473008
grad	7	0.000719794344473008
Google	7	0.000719794344473008
company,	7	0.000719794344473008
can't	7	0.000719794344473008
before	7	0.000719794344473008
bad	7	0.000719794344473008
you.	6	0.000616966580976864
Yahoo	6	0.000616966580976864
worst	6	0.000616966580976864
won't	6	0.000616966580976864
well	6	0.000616966580976864
value	6	0.000616966580976864
till	6	0.000616966580976864
thought	6	0.000616966580976864
these	6	0.000616966580976864
That's	6	0.000616966580976864
tend	6	0.000616966580976864
sign	6	0.000616966580976864
seed	6	0.000616966580976864
sales	6	0.000616966580976864
realize	6	0.000616966580976864
problem	6	0.000616966580976864
place	6	0.000616966580976864
people.	6	0.000616966580976864
pay	6	0.000616966580976864
next	6	0.000616966580976864
money.	6	0.000616966580976864
meant	6	0.000616966580976864
market	6	0.000616966580976864
little	6	0.000616966580976864
instead	6	0.000616966580976864
has	6	0.000616966580976864
food	6	0.000616966580976864
feel	6	0.000616966580976864
especially	6	0.000616966580976864
end	6	0.000616966580976864
easy	6	0.000616966580976864
down	6	0.000616966580976864
done	6	0.000616966580976864
do.	6	0.000616966580976864
deal	6	0.000616966580976864
couple	6	0.000616966580976864
come	6	0.000616966580976864
business.	6	0.000616966580976864
build	6	0.000616966580976864
between	6	0.000616966580976864
ask	6	0.000616966580976864
anyone	6	0.000616966580976864
another	6	0.000616966580976864
amount	6	0.000616966580976864
after	6	0.000616966580976864
you,	5	0.00051413881748072
you'd	5	0.00051413881748072
why	5	0.00051413881748072
we'd	5	0.00051413881748072
want.	5	0.00051413881748072
Wall	5	0.00051413881748072
VC	5	0.00051413881748072
users,	5	0.00051413881748072
tried	5	0.00051413881748072
To	5	0.00051413881748072
test	5	0.00051413881748072
technology,	5	0.00051413881748072
talking	5	0.00051413881748072
still	5	0.00051413881748072
Some	5	0.00051413881748072
software.	5	0.00051413881748072
software,	5	0.00051413881748072
several	5	0.00051413881748072
seemed	5	0.00051413881748072
said	5	0.00051413881748072
run	5	0.00051413881748072
put	5	0.00051413881748072
own	5	0.00051413881748072
once	5	0.00051413881748072
off	5	0.00051413881748072
now,	5	0.00051413881748072
Most	5	0.00051413881748072
main	5	0.00051413881748072
made	5	0.00051413881748072
looking	5	0.00051413881748072
is,	5	0.00051413881748072
I'm	5	0.00051413881748072
his	5	0.00051413881748072
hiring	5	0.00051413881748072
give	5	0.00051413881748072
gave	5	0.00051413881748072
funding	5	0.00051413881748072
fail	5	0.00051413881748072
exactly	5	0.00051413881748072
everything	5	0.00051413881748072
everyone	5	0.00051413881748072
Even	5	0.00051413881748072
employees	5	0.00051413881748072
else	5	0.00051413881748072
easier	5	0.00051413881748072
dollars	5	0.00051413881748072
decide	5	0.00051413881748072
As	5	0.00051413881748072
write	4	0.000411311053984576
worry	4	0.000411311053984576
worked	4	0.000411311053984576
whole	4	0.000411311053984576
whether	4	0.000411311053984576
went	4	0.000411311053984576
wanted	4	0.000411311053984576
valuation	4	0.000411311053984576
Usually	4	0.000411311053984576
turned	4	0.000411311053984576
top	4	0.000411311053984576
time,	4	0.000411311053984576
thing.	4	0.000411311053984576
thing	4	0.000411311053984576
there's	4	0.000411311053984576
that.	4	0.000411311053984576
technology.	4	0.000411311053984576
technical	4	0.000411311053984576
suck	4	0.000411311053984576
such	4	0.000411311053984576
started	4	0.000411311053984576
spent	4	0.000411311053984576
small	4	0.000411311053984576
since	4	0.000411311053984576
set	4	0.000411311053984576
see	4	0.000411311053984576
school.	4	0.000411311053984576
school,	4	0.000411311053984576
round	4	0.000411311053984576
really	4	0.000411311053984576
powerful	4	0.000411311053984576
point	4	0.000411311053984576
places	4	0.000411311053984576
Once	4	0.000411311053984576
often	4	0.000411311053984576
nothing	4	0.000411311053984576
needed	4	0.000411311053984576
money,	4	0.000411311053984576
millions	4	0.000411311053984576
million	4	0.000411311053984576
mature	4	0.000411311053984576
low	4	0.000411311053984576
look	4	0.000411311053984576
life.	4	0.000411311053984576
less	4	0.000411311053984576
leave	4	0.000411311053984576
least	4	0.000411311053984576
